Event Name,Definition,Event Properties,User Properties,Tracking source,Last Update,Last Updated By,🚥 Testing Statuses,ID,Number
blog_view,Triggers on every blog page,"event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21), Page_title (https://www.notion.so/Page_title-14f7dee22b1780669fe5df2742ebc7c8?pvs=21), Page_url (https://www.notion.so/Page_url-14f7dee22b1780de854dd07e0e00e25e?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),11,1
page_view,Triggers on every page load or URL change.,"event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21), Page_title (https://www.notion.so/Page_title-14f7dee22b1780669fe5df2742ebc7c8?pvs=21), Page_url (https://www.notion.so/Page_url-14f7dee22b1780de854dd07e0e00e25e?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),8,1
search,Tracks when a user performs a search on the website.,"search_string (https://www.notion.so/search_string-14e7dee22b17804a9af2eca280029c89?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),4,2
"
view_item
",Fires when a user views a specific product or item.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), ecomm_pagetype (https://www.notion.so/ecomm_pagetype-14e7dee22b17803fa734ced81eaa6da4?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),10,3
view_item_list,Fires when a user views a list of products.,"ecomm_pagetype (https://www.notion.so/ecomm_pagetype-14e7dee22b17803fa734ced81eaa6da4?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),14,4
add_to_cart,Tracks when a user adds an item to their shopping cart.,"contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),3,5
View_cart,Tracks when a user adds an item to their shopping cart.,"contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),5,6
add_payment_info,Tracks when a user adds payment information during checkout.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), coupon (https://www.notion.so/coupon-14e7dee22b17801cbdf7d554a14e9dba?pvs=21), tax (https://www.notion.so/tax-14e7dee22b1780358ff8c617b3f1edf0?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),6,7
add_shipping_info,Fires when a user provides shipping information during checkout.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), shipping (https://www.notion.so/shipping-14e7dee22b1780a29b6aca847af4eba0?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),9,8
begin_checkout,Fires when a user initiates the checkout process.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),1,9
form_submit,Triggered when a user submits a completed form submission,"Page_url (https://www.notion.so/Page_url-14f7dee22b1780de854dd07e0e00e25e?pvs=21), Page_title (https://www.notion.so/Page_title-14f7dee22b1780669fe5df2742ebc7c8?pvs=21), submission_id (https://www.notion.so/submission_id-1547dee22b17801392bffe370ddd0d29?pvs=21), form_title (https://www.notion.so/form_title-1547dee22b17803fab81c12d3d16215b?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),12,10
Product_purchase,Fires when a user purchases a product that is not a swatch.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), transaction_id (https://www.notion.so/transaction_id-14e7dee22b1780aeaa1acd9a1ca84a38?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), coupon (https://www.notion.so/coupon-14e7dee22b17801cbdf7d554a14e9dba?pvs=21), shipping (https://www.notion.so/shipping-14e7dee22b1780a29b6aca847af4eba0?pvs=21), tax (https://www.notion.so/tax-14e7dee22b1780358ff8c617b3f1edf0?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),7,11
purchase,Fires when a user completes a purchase transaction.,"content_ids (https://www.notion.so/content_ids-14d7dee22b1780e6a58ccca102bef1c2?pvs=21), contents (https://www.notion.so/contents-14e7dee22b1780358b2df97515993db5?pvs=21), currency (https://www.notion.so/currency-14e7dee22b1780619f8fc65ddd64f84c?pvs=21), value (https://www.notion.so/value-14e7dee22b1780eabb30eee6b19fd0dd?pvs=21), event_id (https://www.notion.so/event_id-14e7dee22b1780f69055c2fead561877?pvs=21), transaction_id (https://www.notion.so/transaction_id-14e7dee22b1780aeaa1acd9a1ca84a38?pvs=21), num_items (https://www.notion.so/num_items-14e7dee22b1780a8a816c8583fbfafea?pvs=21), coupon (https://www.notion.so/coupon-14e7dee22b17801cbdf7d554a14e9dba?pvs=21), shipping (https://www.notion.so/shipping-14e7dee22b1780a29b6aca847af4eba0?pvs=21), tax (https://www.notion.so/tax-14e7dee22b1780358ff8c617b3f1edf0?pvs=21), gclid (https://www.notion.so/gclid-15a7dee22b17807f8b94f7f6078ec6f3?pvs=21), fbclid (https://www.notion.so/fbclid-15a7dee22b17806fa388df29b3027a45?pvs=21), fbc (https://www.notion.so/fbc-15a7dee22b178018bc41ff851a689f63?pvs=21), fbp (https://www.notion.so/fbp-15a7dee22b178036ac93c9c804da2f8c?pvs=21)","x-stape-user-id (https://www.notion.so/x-stape-user-id-14f7dee22b17801bbf6ae305e1a92815?pvs=21), $first_name (https://www.notion.so/first_name-14f7dee22b178031b96ad7dc421d6d92?pvs=21), $last_name (https://www.notion.so/last_name-14f7dee22b178049983de2aac9f726c4?pvs=21), $email (https://www.notion.so/email-14f7dee22b17801d8d73f77c86b14a00?pvs=21), $phone_number (https://www.notion.so/phone_number-14f7dee22b1780d3b301e5cee0b55b1e?pvs=21), $country (https://www.notion.so/country-14f7dee22b178088b6bdc629606dcc9d?pvs=21), $address_1 (https://www.notion.so/address_1-14f7dee22b1780c881fdf2b18710ed6c?pvs=21), $address_2 (https://www.notion.so/address_2-14f7dee22b178052aeedf05b674216a0?pvs=21), $city (https://www.notion.so/city-14f7dee22b17808cb3d0ee41dc3ced35?pvs=21), $postcode (https://www.notion.so/postcode-14f7dee22b1780bdbc0cda3bca3f368a?pvs=21)","Client-Side, Server-Side","January 9, 2025 3:50 PM","Ky ",Inactive (https://www.notion.so/Inactive-14d7dee22b17813ca1cbf8a1067f579e?pvs=21),13,12
,,,,,"January 9, 2025 3:50 PM","Ky ",,2,