Name,Martech Stack Group,Category,Est. annual fee (GBP),Frequently Used,Last edited by,Last edited time,Account Manager Name Email,Description,Clients using this tool
Google Tag Manager,"Martech 1, Martech 2, Martech 3, Martech 4","CDP, Tag Manager",,Yes,"Ky ","November 30, 2024 9:11 PM",,tag management and version control,Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)
Stape.io,"Martech 1, Martech 2, Martech 3, Martech 4","Data Integration, Tag Manager",,Yes,"Ky ","December 17, 2024 3:10 PM",,Server side tagging solution.,"Hilditch & Key (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Hilditch%20&%20Key%201537dee22b17807a9efbefe4027991b0.md), Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)"
Shopify,"Martech 1, Martech 2, Martech 3, Martech 4",CMS,,Yes,"Ky ","December 6, 2024 6:28 PM",,"Website ",Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)
Meta Ads,"Martech 1, Martech 2, Martech 3, Martech 4",Advertising,,Yes,"Ky ","November 30, 2024 9:12 PM",,"Meta ads platform ","Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md), Ark Wildlife (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%201537dee22b178059b3a3d910aad87bd4.md)"
Google Ads,"Martech 1, Martech 2, Martech 3, Martech 4",Advertising,,Yes,"Ky ","November 30, 2024 9:12 PM",,"Google ads platform ","Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md), Ark Wildlife (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%201537dee22b178059b3a3d910aad87bd4.md)"
Google Search Console,"Martech 1, Martech 2, Martech 3, Martech 4",Analytics,,Yes,"Ky ","November 30, 2024 9:12 PM",,Organic search listings,Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)
Google Merchant Center,"Martech 1, Martech 2, Martech 3, Martech 4",CSS,,Yes,"Ky ","December 5, 2024 1:37 PM",,"Google shopping ","Aapas (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Aapas%2014b7dee22b17806d9bdcefba70537154.md), Scotch & Soda (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Scotch%20&%20Soda%201537dee22b1780f7b4afce8492f9f178.md), Everest Beds (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Everest%20Beds%201537dee22b17803db6e6d45c2f58cc89.md), domli (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/domli%201537dee22b17806d9f30c8bc66c4d814.md), Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md), MedTree (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/MedTree%201537dee22b1780a1b9b0d514cd01934e.md), Hilditch & Key (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Hilditch%20&%20Key%201537dee22b17807a9efbefe4027991b0.md), Chic Concept (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Chic%20Concept%201537dee22b1780da8b8edc3a94d1ca62.md), Memsaab (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Memsaab%201537dee22b178093b9a3df21581f4004.md), Comodo Living (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%201537dee22b17807281dccc1f61ddb52b.md), Beedspeed (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beedspeed%201537dee22b17801a84cbc20e8ce3e0ac.md), Vintage Sofa (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Vintage%20Sofa%201537dee22b178019a225cbef08330be6.md), The Somerset Grill (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/The%20Somerset%20Grill%201537dee22b178036a834d68f3c723751.md), Hawkinsport (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Hawkinsport%201537dee22b1780fea542c5be812221f6.md), Toffeln (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Toffeln%201537dee22b1780e59b0fe7ee5a14e60c.md), Ark Wildlife (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%201537dee22b178059b3a3d910aad87bd4.md)"
Google Analytics,"Martech 1, Martech 2, Martech 3, Martech 4",Analytics,,Yes,"Ky ","November 30, 2024 9:11 PM",,Web traffic analytics platform,Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)
Klaviyo,"Martech 1, Martech 2, Martech 3, Martech 4","Automation, Email Marketing",,Yes,"Ky ","November 30, 2024 9:11 PM",,"Email marketing ",
Mulwi,"Martech 1, Martech 2, Martech 3, Martech 4",Product Feed,,Yes,"Ky ","November 30, 2024 9:11 PM",,Product Feed app,
Google Cloud,,Data Warehouse,,No,"Ky ","November 30, 2024 9:06 PM",,,
Custom Integration,,,,No,"Ky ","November 29, 2024 11:45 PM",,,
Hotjar,"Martech 3, Martech 4","Heatmaps, Session Recording",,No,"Ky ","November 30, 2024 8:07 PM",,,
Looker (Data Studio),,"Data Visualisation, Reporting",,No,"Ky ","November 30, 2024 9:06 PM",,,
Snapchat Ads,Martech 4,Advertising,,Yes,"Ky ","November 30, 2024 9:02 PM",,,
Linkedin,Martech 4,Advertising,,Yes,"Ky ","November 30, 2024 9:06 PM",,,
BigQuery,,Data Warehouse,,No,"Ky ","November 30, 2024 9:06 PM",,,
Google Sheets,,Data Warehouse,,Yes,"Ky ","November 30, 2024 9:01 PM",,,
Fivetran,,Data Integration,,No,"Ky ","November 30, 2024 9:06 PM",,,
Segment,,"CDP, Tag Manager",,No,"Ky ","November 30, 2024 9:06 PM",,,
Wicked Reports,,Reporting,,No,"Ky ","November 30, 2024 9:06 PM",,,
Mixpanel,"Martech 2, Martech 3, Martech 4",Analytics,,Yes,"Ky ","December 5, 2024 1:37 PM",,,"Hilditch & Key (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Hilditch%20&%20Key%201537dee22b17807a9efbefe4027991b0.md), Comodo Living (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%201537dee22b17807281dccc1f61ddb52b.md), Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)"
Triple Whale,"Martech 3, Martech 4",Analytics,,Yes,"Ky ","November 30, 2024 9:05 PM",,,
Notion,,Workspace,,Yes,"Ky ","November 30, 2024 8:54 PM",,,
Tik Tok,"Martech 2, Martech 3, Martech 4",Advertising,,Yes,"Ky ","November 30, 2024 9:06 PM",,,
Amplitude,"Martech 3, Martech 4",Analytics,,No,"Ky ","November 30, 2024 9:03 PM",,,
Slack,,Project Management,,Yes,"Ky ","November 30, 2024 8:53 PM",,,
Elevar,,"Data Integration, Tag Manager",,Yes,"Ky ","December 5, 2024 1:36 PM",,Elevar is a server side tagging solution.,"Scotch & Soda (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Scotch%20&%20Soda%201537dee22b1780f7b4afce8492f9f178.md), The Somerset Grill (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/The%20Somerset%20Grill%201537dee22b178036a834d68f3c723751.md), domli (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/domli%201537dee22b17806d9f30c8bc66c4d814.md), Comodo Living (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%201537dee22b17807281dccc1f61ddb52b.md)"
simprosys,,,,No,"Ky ","December 5, 2024 1:44 PM",,,Ark Wildlife (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%201537dee22b178059b3a3d910aad87bd4.md)