Update Title,Update Type,Created time
Ad uploads,Reactive,"November 19, 2024 2:50 PM"
Update,Routine Checks,"November 18, 2024 2:59 PM"
Post BF,Routine Checks,"December 3, 2024 11:05 AM"
1st November,Routine Checks,"November 1, 2024 10:58 AM"
27th November,Routine Checks,"November 27, 2024 1:36 PM"
New Grill launch,Reactive,"December 2, 2024 2:34 PM"
Tagging update and debug,Reactive,"December 2, 2024 2:44 PM"
Google ads changes and performance,Reactive,"December 2, 2024 2:44 PM"
BF Budgets and ads adjustments,Other,"December 3, 2024 10:08 AM"
BFCM Revert,Other,"December 3, 2024 1:26 PM"
TEST,Routine Checks,"December 3, 2024 2:21 PM"
Budget update,Routine Checks,"December 3, 2024 2:49 PM"
Meta performance,Routine Checks,"December 4, 2024 9:24 AM"
Budget updates - dropped to 35k,Reactive,"December 5, 2024 10:24 AM"
"2025 Q1 forecasting and media planning ",Routine Checks,"December 5, 2024 10:53 AM"
New ad upload WINT24,Routine Checks,"December 5, 2024 1:41 PM"
Account check,Routine Checks,"December 5, 2024 1:48 PM"
Last 14 days performance reveiw,Routine Checks,"December 5, 2024 2:44 PM"
Last 14 days recap,Routine Checks,"December 5, 2024 2:59 PM"
Move towards a 6x ROAS,Reactive,"December 6, 2024 3:03 PM"
Meta ROAS Flag,Reactive,"December 9, 2024 9:53 AM"
Xmas Gift Guide creative upload + Budget updates,Ad upload,"December 9, 2024 1:33 PM"
Over inflated meta results,Data Quality,"December 9, 2024 1:48 PM"
Data - Situational Analysis,Data Quality,"December 10, 2024 9:49 AM"
"December media planning, budgets & Testing",Routine Checks,"December 10, 2024 10:50 AM"
"Budget updates, performance review and next steps",Routine Checks,"December 10, 2024 11:33 AM"
Everest beds budget update,Routine Checks,"December 10, 2024 1:21 PM"
Budget updates and store revenue,Routine Checks,"December 10, 2024 2:10 PM"
Bed Online,,"December 12, 2024 3:49 PM"
Memsaab update - Post Daba campaign turn on.,Flag check,"December 16, 2024 11:46 AM"
Scotch & Soda - New Store ads,Routine Checks,"December 19, 2024 2:51 PM"
EOY Sale,Routine Checks,"December 20, 2024 8:32 AM"
Decline in purchases - potential reasoning,Other,"December 23, 2024 11:57 AM"
Test log,Ad upload,"December 23, 2024 1:45 PM"
"Xmas Break budget adjustments ",,"December 23, 2024 2:11 PM"
Budget Adjustments - Google,Reactive,"December 24, 2024 3:34 PM"
Google meeting,Other,"January 3, 2025 2:28 PM"
"Google meeting ",Other,"January 3, 2025 2:50 PM"
Account handover,Routine Checks,"January 6, 2025 3:32 PM"
"{{Placeholder}} ",,"January 8, 2025 8:58 AM"
Google rep call,Routine Checks,"January 8, 2025 10:33 AM"
Account Check in,Routine Checks,"January 8, 2025 12:00 PM"